Order No,Order Date,Customer Name,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount Percentage,Discount Dollar,Order Total,Shipping Cost,Total
5032-1,2013/11/18,Phillip Flathmann,Sydney,NSW,Home Office,Nicholas Fernandes,Critical,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Small Box,Regular Air,2013/11/20,16.85,27.18,10.33,32,869.76,0.06,52.1856,817.5744,8.23,809.3444
5032-1,2013/12/16,Henry Goldwyn,Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013/12/19,1.84,2.88,1.04,22,63.36,0.01,0.6336,62.7264,0.99,61.7364
5033-1,2013/02/25,Katherine Ducich,Sydney,NSW,Small Business,Samantha Chairs,High,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,2013/02/27,54.29,90.48,36.19,42,3800.16,0.05,190.008,3610.152,19.99,3590.162
5034-1,2013/05/06,Deborah Brumfield,Sydney,NSW,Small Business,Samantha Chairs,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013/05/06,1.84,2.88,1.04,32,92.16,0.05,4.608,87.552,0.99,86.562
5034-1,2015/10/08,Nora Price,Sydney,NSW,Small Business,Preston Senome,Medium,Ames Color-File Green Diamond Border X-ray Mailers,Technology,Small Box,Express Air,2015/08/13,52.07,83.98,31.91,22,1847.56,0.07,129.3292,1718.2308,5.01,1713.2208
5034-1,2014/09/23,Grant Thornton,Sydney,NSW,Small Business,Natasha Song,Critical,Artisan 474 Labels,Technology,Small Box,Regular Air,2014/09/25,1.84,2.88,1.04,45,129.6,0.08,10.368,119.232,0.99,118.242
5034-1,2013/09/05,Thea Hudgings,Melbourne,VIC,Small Business,Connor Betts,Medium,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013/11/05,3.32,5.18,1.86,37,191.66,0.01,1.9166,189.7434,2.04,187.7034
5034-1,2013/05/13,Alex Russell,Melbourne,VIC,Home Office,Connor Betts,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013/05/15,3.32,5.18,1.86,35,181.3,0.03,5.439,175.861,2.04,173.821
5034-1,2013/02/20,Rick Reed,Sydney,NSW,Home Office,Phoebe Gour,High,Apex Straight Scissors,Office Supplies,Wrap Bag,Regular Air,2013/02/22,5.19,12.98,7.79,16,207.68,0.1,20.768,186.912,3.14,183.772
5035-1,2013/04/30,Pamela Stobb,Sydney,NSW,Consumer,Leighton Forrest,Low,HFX LaserJet 3310 Copier,Technology,Small Box,Regular Air,2013/02/05,377.99,599.99,222,35,20999.65,0.05,1049.9825,19949.6675,24.49,19925.1775
5036-1,2013/07/03,Sean ODonnell,Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Office Supplies,Small Box,Express Air,2013/10/03,0.71,1.14,0.43,14,15.96,0.02,0.3192,15.6408,0.7,14.9408
5036-1,2013/07/03,Sean ODonnell,Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Furniture,Large Box,Express Air,2013/10/03,0.71,1.14,0.43,14,15.96,0,0,15.96,0.7,15.26
5037-1,2013/11/03,Art Foster,Sydney,NSW,Consumer,Stevie Bacata,High,Apex Elite Stainless Steel Scissors,Furniture,Small Pack,Regular Air,2013/03/13,3.42,8.34,4.92,32,266.88,0.08,21.3504,245.5296,2.64,242.8896
5037-1,2013/06/29,Adam Bellavance,Sydney,NSW,Home Office,Leighton Forrest,Not Specified,Apex Elite Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2013/01/07,3.42,8.34,4.92,11,91.74,0.07,6.4218,85.3182,2.64,82.6782
5037-1,2013/04/07,Sara Luxemburg,Sydney,NSW,Home Office,Charlie Bui,Critical,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Regular Air,2013/05/07,4.79,11.97,7.18,10,119.7,0.1,11.97,107.73,5.81,101.92
5037-1,2013/11/03,Art Foster,Sydney,NSW,Small Business,Stevie Bacata,High,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Express Air,2013/03/13,2.5,5.68,3.18,50,284,0.09,25.56,258.44,3.6,254.84
5038-1,2013/03/16,Christina Vanderzanden,Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths Standard Envelopes,Technology,Small Box,Regular Air,2013/03/20,3.52,5.68,2.16,34,193.12,0.02,3.8624,189.2576,1.39,187.8676
5039-1,2013/03/15,Michael Grace,Sydney,NSW,Small Business,Natasha Song,Low,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Express Air,2013/03/16,4.59,7.28,2.69,37,269.36,0.04,10.7744,258.5856,11.15,247.4356
5039-1,2013/05/31,Rick Duston,Sydney,NSW,Consumer,Charlie Bui,High,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013/05/31,1.84,2.88,1.04,42,120.96,0,0,120.96,0.99,119.97
5039-1,2014/07/08,John Lucas,Sydney,NSW,Corporate,Tina Carlton,Critical,"Alto Parchment Paper, Assorted Colors",Furniture,Large Box,Regular Air,2014/09/08,4.59,7.28,2.69,44,320.32,0.08,25.6256,294.6944,11.15,283.5444
5040-1,2013/03/16,Christina Vanderzanden,Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Large Box,Regular Air,2013/03/20,1.3,2.88,1.58,46,132.48,0.07,9.2736,123.2064,1.01,122.1964
5040-1,2013/03/16,Christina Vanderzanden,Sydney,NSW,Corporate,Tina Carlton,Critical,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Box,Express Air,2013/03/20,1.3,2.88,1.58,8,23.04,0.05,1.152,21.888,1.01,20.878
5040-1,2013/03/16,Christina Vanderzanden,Sydney,NSW,Home Office,Tina Carlton,Medium,"Steady Colorific Colored Pencils, 12/Box",Office Supplies,Small Box,Regular Air,2013/03/20,1.3,2.88,1.58,22,63.36,0.02,1.2672,62.0928,1.01,61.0828
5040-1,2013/03/16,Christina Vanderzanden,Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Pack,Express Air,2013/03/20,1.3,2.88,1.58,32,92.16,0.08,7.3728,84.7872,1.01,83.7772
5041-1,2015/10/20,Eva Jacobs,Sydney,NSW,Small Business,Nicholas Fernandes,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Regular Air,2015/10/24,2.98,5.84,2.86,48,280.32,0.08,22.4256,257.8944,0.83,257.0644
5042-1,2013/04/30,Pamela Stobb,Sydney,NSW,Small Business,Leighton Forrest,Not Specified,Apex Straight Scissors,Office Supplies,Small Pack,Express Air,2013/02/05,5.19,12.98,7.79,49,636.02,0.04,25.4408,610.5792,3.14,607.4392
5042-1,2013/06/25,Karl Brown,Sydney,NSW,Home Office,Tina Carlton,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013/05/26,3.32,5.18,1.86,30,155.4,0.09,13.986,141.414,2.04,139.374
5042-1,2013/03/23,Aaron Smayling,Sydney,NSW,Small Business,Nicholas Fernandes,High,Assorted Color Push Pins,Office Supplies,Small Box,Regular Air,2013/03/26,0.87,1.81,0.94,30,54.3,0.03,1.629,52.671,0.75,51.921
5043-1,2015/04/18,Philip Brown,Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Artisan 487 Labels,Furniture,Small Pack,Express Air,2015/04/19,2.29,3.69,1.4,7,25.83,0.01,0.2583,25.5717,0.5,25.0717
5046-1,2015/11/01,Katherine Nockton,Melbourne,VIC,Consumer,Connor Betts,Critical,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies,Small Box,Regular Air,2015/12/01,3.88,6.47,2.59,34,219.98,0.03,6.5994,213.3806,1.22,212.1606
5047-1,2015/04/19,Thais Sissman,Sydney,NSW,Small Business,Tina Carlton,High,Artisan Poly Binder Pockets,Technology,Small Pack,Regular Air,2015/04/19,2.26,3.58,1.32,11,39.38,0.02,0.7876,38.5924,5.47,33.1224
5047-1,2015/01/05,Chad McGuire,Sydney,NSW,Home Office,Samantha Chairs,Low,Artisan Premier Heavy-Duty Binder with Round Locking Rings,Office Supplies,Small Box,Regular Air,2015/02/05,8.71,14.28,5.57,32,456.96,0.1,45.696,411.264,2.99,408.274
5047-1,2015/03/16,Candos Bawlak,Sydney,NSW,Home Office,Samantha Chairs,Critical,Artisan 487 Labels,Office Supplies,Small Pack,Regular Air,2015/03/16,2.29,3.69,1.4,50,184.5,0.08,14.76,169.74,0.5,169.24
5047-1,2014/04/10,Patrick OBrill,Sydney,NSW,Small Business,Tina Carlton,Critical,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,2014/06/10,13.88,22.38,8.5,6,134.28,0.03,4.0284,130.2516,15.1,115.1516
5048-1,2013/05/26,Denny Ordway,Sydney,NSW,Home Office,Mihael Khan,Not Specified,Smiths Standard Envelopes,Technology,Large Box,Regular Air,2013/05/26,3.52,5.68,2.16,29,164.72,0,0,164.72,1.39,163.33
5048-1,2014/09/22,Magdelene Mosse,Sydney,NSW,Corporate,Tina Carlton,Low,Smiths General Use 3-Ring Binders,Office Supplies,Wrap Bag,Regular Air,2014/09/22,1.18,1.88,0.7,34,63.92,0.03,1.9176,62.0024,1.49,60.5124
5048-1,2013/06/15,Scott Cohen,Melbourne,VIC,Home Office,Connor Betts,Not Specified,Smiths Standard Envelopes,Office Supplies,Wrap Bag,Regular Air,2013/06/17,3.52,5.68,2.16,39,221.52,0.08,17.7216,203.7984,1.39,202.4084
5049-1,2015/10/20,Eva Jacobs,Sydney,NSW,Corporate,Nicholas Fernandes,Medium,12 Colored Short Pencils,Office Supplies,Small Box,Regular Air,2015/10/24,1.09,2.6,1.51,1,2.6,0,0,2.6,2.4,0.2
5049-1,2013/05/29,Thais Sissman,Sydney,NSW,Corporate,Tina Carlton,High,Office Shears by Apex,Technology,Jumbo Drum,Delivery Truck,2013/05/29,0.94,2.08,1.14,13,27.04,0.04,1.0816,25.9584,2.56,23.3984
5050-1,2016/06/09,Benjamin Patterson,Sydney,NSW,Consumer,Natasha Song,Critical,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,2016/08/09,54.29,90.48,36.19,46,4162.08,0.04,166.4832,3995.5968,19.99,3975.6068
5050-1,2013/04/19,Craig Carroll,Melbourne,VIC,Corporate,Connor Betts,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Wrap Bag,Express Air,2013/04/20,5.33,8.6,3.27,25,215,0.1,21.5,193.5,6.19,187.31
5050-1,2013/07/30,Keith Herrera,Melbourne,VIC,Small Business,Connor Betts,Medium,TechSavi Access Keyboard,Office Supplies,Small Box,Regular Air,2013/07/31,10.07,15.98,5.91,38,607.24,0.03,18.2172,589.0228,4,585.0228
5051-1,2013/03/27,Erica Smith,Sydney,NSW,Small Business,Tina Carlton,Medium,Alto Memo Cubes,Office Supplies,Small Box,Express Air,2013/03/27,3.32,5.18,1.86,41,212.38,0.08,16.9904,195.3896,2.04,193.3496
5051-1,2014/06/23,Frank Hawley,Sydney,NSW,Corporate,Samantha Chairs,Critical,Beekin 105-Key Black Keyboard,Office Supplies,Small Box,Regular Air,2014/06/23,6.39,19.98,13.59,36,719.28,0.05,35.964,683.316,4,679.316
5052-1,2014/06/03,Delfina Latchford,Melbourne,VIC,Corporate,Connor Betts,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2014/07/03,1.84,2.88,1.04,7,20.16,0.04,0.8064,19.3536,0.99,18.3636
